Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
9 4846.77 876.00 100.012768 64.524 0.0748345 10.2274 0.127424 0 0.425814 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
22 4693.55 837.00 100.013432 64.5236 0.074834 10.2273 0.134051 0 0.419848 0 0.0166298 0 0 0.340911 3.73339 3.89968 0 16.6298
10 4846.77 873.00 100.012808 64.524 0.0748345 10.2274 0.12782 0 0.425457 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
30 4387.10 813.00 100.014053 64.5232 0.0748336 10.2273 0.140244 0 0.414271 0 0.0166297 0 0 0.340908 3.73336 3.89966 0 16.6297
20 5000.00 843.00 100.013133 64.5238 0.0748342 10.2273 0.131063 0 0.422538 0 0.0166298 0 0 0.340912 3.7334 3.8997 0 16.6298
11 4846.77 870.00 100.012848 64.5239 0.0748345 10.2274 0.128222 0 0.425096 0 0.0166299 0 0 0.340913 3.73341 3.89971 0 16.6299
12 4846.77 867.00 100.012889 64.5239 0.0748344 10.2274 0.128629 0 0.424729 0 0.0166299 0 0 0.340912 3.73341 3.89971 0 16.6299
20 4540.32 843.00 100.013442 64.5236 0.074834 10.2273 0.134144 0 0.419764 0 0.0166298 0 0 0.340911 3.73339 3.89968 0 16.6298
66 3927.42 748.50 100.015816 64.522 0.0748322 10.2271 0.157839 0 0.39843 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
31 4387.10 810.00 100.014107 64.5231 0.0748335 10.2272 0.14079 0 0.41378 0 0.0166297 0 0 0.340908 3.73336 3.89966 0 16.6297
21 4540.32 840.00 100.013489 64.5235 0.074834 10.2273 0.134615 0 0.41934 0 0.0166298 0 0 0.34091 3.73338 3.89968 0 16.6298
21 5000.00 840.00 100.013178 64.5237 0.0748342 10.2273 0.131515 0 0.422131 0 0.0166298 0 0 0.340911 3.7334 3.89969 0 16.6298
22 4540.32 837.00 100.013537 64.5235 0.0748339 10.2273 0.135092 0 0.41891 0 0.0166298 0 0 0.34091 3.73338 3.89968 0 16.6298
22 5000.00 837.00 100.013224 64.5237 0.0748342 10.2273 0.131974 0 0.421718 0 0.0166298 0 0 0.340911 3.73339 3.89969 0 16.6298
32 4387.10 807.00 100.014163 64.5231 0.0748335 10.2272 0.141342 0 0.413283 0 0.0166297 0 0 0.340908 3.73336 3.89966 0 16.6297
23 4540.32 834.00 100.013585 64.5235 0.0748339 10.2273 0.135576 0 0.418475 0 0.0166298 0 0 0.34091 3.73338 3.89968 0 16.6298
13 4846.77 864.00 100.012930 64.5239 0.0748344 10.2274 0.129041 0 0.424358 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
24 4540.32 831.00 100.013634 64.5234 0.0748339 10.2273 0.136066 0 0.418033 0 0.0166297 0 0 0.34091 3.73338 3.89968 0 16.6297
14 4846.77 861.00 100.012972 64.5239 0.0748344 10.2274 0.129459 0 0.423982 0 0.0166299 0 0 0.340912 3.7334 3.8997 0 16.6299
