System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
22 4950.50 837.00 100.012562 1.0000000000000000 1.000000 -1344109.583499 269.467861 44.442850 135.060386 -625.375460 6397.015078 -13.096 0.000 2.250363 0.000000 4.951 n/a n/a
23 4901.00 834.00 100.012654 1.0000000000000000 1.000000 -1344701.104813 269.134106 44.454742 135.042269 -628.561789 6404.274284 -13.157 0.000 2.249763 0.000000 4.976 n/a n/a
22 5000.00 837.00 100.012530 1.0000000000000000 1.000000 -1343924.260626 269.436231 44.411975 135.044344 -621.239598 6381.250330 -13.096 0.000 2.251927 0.000000 4.951 n/a n/a
23 4950.50 834.00 100.012622 1.0000000000000000 1.000000 -1344515.663991 269.102441 44.423710 135.026173 -624.417695 6388.335588 -13.157 0.000 2.251334 0.000000 4.976 n/a n/a
24 4851.50 831.00 100.012748 1.0000000000000000 1.000000 -1345292.705669 268.799444 44.466771 135.024032 -631.745850 6411.655354 -13.218 0.000 2.249157 0.000000 5.002 n/a n/a
24 4950.50 831.00 100.012682 1.0000000000000000 1.000000 -1344921.655060 268.736122 44.404596 134.991764 -623.460937 6379.619987 -13.218 0.000 2.252305 0.000000 5.002 n/a n/a
25 4901.00 828.00 100.012776 1.0000000000000000 1.000000 -1345513.098740 268.400477 44.416447 134.973300 -626.626265 6386.775031 -13.280 0.000 2.251706 0.000000 5.027 n/a n/a
25 4802.00 828.00 100.012842 1.0000000000000000 1.000000 -1345884.386237 268.463870 44.478935 135.005674 -634.927644 6419.158288 -13.280 0.000 2.248544 0.000000 5.027 n/a n/a
25 4950.50 828.00 100.012743 1.0000000000000000 1.000000 -1345327.556314 268.368899 44.385510 134.957158 -622.505187 6370.868281 -13.280 0.000 2.253275 0.000000 5.027 n/a n/a
26 4851.50 825.00 100.012871 1.0000000000000000 1.000000 -1346104.621760 268.063914 44.428433 134.954714 -629.789327 6394.051943 -13.342 0.000 2.251101 0.000000 5.052 n/a n/a
26 4901.00 825.00 100.012838 1.0000000000000000 1.000000 -1345918.960737 268.032302 44.397339 134.938518 -625.660016 6377.971250 -13.342 0.000 2.252676 0.000000 5.052 n/a n/a
26 4950.50 825.00 100.012805 1.0000000000000000 1.000000 -1345733.367360 268.000768 44.366450 134.922353 -621.550447 6362.080474 -13.342 0.000 2.254244 0.000000 5.052 n/a n/a
27 4851.50 822.00 100.012935 1.0000000000000000 1.000000 -1346510.444394 267.694783 44.409304 134.919754 -628.812580 6385.196088 -13.404 0.000 2.252072 0.000000 5.078 n/a n/a
27 4901.00 822.00 100.012901 1.0000000000000000 1.000000 -1346324.732230 267.663214 44.378259 134.903536 -624.694777 6369.131370 -13.404 0.000 2.253646 0.000000 5.078 n/a n/a
27 4802.00 822.00 100.012968 1.0000000000000000 1.000000 -1346696.224280 267.726431 44.440554 134.936000 -632.950123 6401.450723 -13.404 0.000 2.250489 0.000000 5.078 n/a n/a
28 4851.50 819.00 100.012999 1.0000000000000000 1.000000 -1346916.176227 267.324733 44.390203 134.884592 -627.836843 6376.304139 -13.467 0.000 2.253042 0.000000 5.104 n/a n/a
27 5000.00 822.00 100.012835 1.0000000000000000 1.000000 -1345953.511147 267.600314 44.316777 134.871188 -616.518398 6337.571688 -13.404 0.000 2.256771 0.000000 5.078 n/a n/a
28 4950.50 819.00 100.012932 1.0000000000000000 1.000000 -1346544.717260 267.261765 44.328410 134.852141 -619.643997 6344.396575 -13.467 0.000 2.256181 0.000000 5.104 n/a n/a
29 4851.50 816.00 100.013063 1.0000000000000000 1.000000 -1347321.816864 266.953762 44.371128 134.849226 -626.862119 6367.376101 -13.529 0.000 2.254012 0.000000 5.130 n/a n/a
28 5000.00 819.00 100.012898 1.0000000000000000 1.000000 -1346359.089550 267.230398 44.297818 134.835959 -615.577186 6328.727670 -13.467 0.000 2.257739 0.000000 5.104 n/a n/a
29 4950.50 816.00 100.012996 1.0000000000000000 1.000000 -1346950.255326 266.890883 44.309431 134.816731 -618.692289 6335.500494 -13.529 0.000 2.257149 0.000000 5.130 n/a n/a
30 4851.50 813.00 100.013129 1.0000000000000000 1.000000 -1347727.365908 266.581865 44.352081 134.813656 -625.888407 6358.411979 -13.593 0.000 2.254982 0.000000 5.156 n/a n/a
30 4802.00 813.00 100.013163 1.0000000000000000 1.000000 -1347913.300068 266.613379 44.383186 134.829968 -629.991426 6374.618677 -13.593 0.000 2.253402 0.000000 5.156 n/a n/a
29 5000.00 816.00 100.012963 1.0000000000000000 1.000000 -1346764.576471 266.859561 44.278885 134.800527 -614.636986 6319.847566 -13.529 0.000 2.258706 0.000000 5.130 n/a n/a
31 4851.50 810.00 100.013201 0.9980040442441721 0.998234 -1348166.858640 266.177714 44.326103 134.773434 -624.188172 6347.319000 -13.656 0.000 2.255785 2.550475 5.174 n/a n/a
32 4851.50 813.00 100.013129 1.0000000000000000 1.000000 -1347727.365908 266.581865 44.352081 134.813656 -625.888407 6358.411979 -13.593 0.000 2.254982 0.000000 5.156 n/a n/a
31 4802.00 810.00 100.013230 0.9996865240590426 0.999723 -1348324.149912 266.235588 44.363019 134.793514 -628.892863 6365.277168 -13.656 0.000 2.254346 2.550319 5.181 n/a n/a
31 4950.50 816.00 100.012996 1.0000000000000000 1.000000 -1346950.255326 266.890883 44.309431 134.816731 -618.692289 6335.500494 -13.529 0.000 2.257149 0.000000 5.130 n/a n/a
33 4851.50 812.00 100.013151 1.0000000000000000 1.000000 -1347862.528500 266.457693 44.345738 134.801753 -625.564061 6355.415920 -13.614 0.000 2.255305 0.000000 5.165 n/a n/a
32 4802.00 813.00 100.013163 1.0000000000000000 1.000000 -1347913.300067 266.613379 44.383186 134.829968 -629.991426 6374.618677 -13.593 0.000 2.253402 0.000000 5.156 n/a n/a
31 5000.00 816.00 100.012963 1.0000000000000000 1.000000 -1346764.576470 266.859561 44.278885 134.800527 -614.636986 6319.847566 -13.529 0.000 2.258706 0.000000 5.130 n/a n/a
34 4851.50 811.00 100.013175 0.9995287936016714 0.999583 -1348005.716153 266.326025 44.337755 134.788777 -625.068173 6351.921788 -13.635 0.000 2.255588 2.550475 5.172 n/a n/a
33 4802.00 812.00 100.013185 1.0000000000000000 1.000000 -1348048.479853 266.489192 44.376827 134.818072 -629.663244 6371.617291 -13.614 0.000 2.253725 0.000000 5.165 n/a n/a
33 4901.00 812.00 100.013119 0.9993793447554452 0.999451 -1347687.237593 266.416539 44.312698 134.784078 -621.258838 6338.747055 -13.614 0.000 2.256824 2.550632 5.162 n/a n/a
32 5000.00 815.00 100.012984 1.0000000000000000 1.000000 -1346899.718380 266.735743 44.272581 134.788671 -614.323811 6316.879513 -13.550 0.000 2.259028 0.000000 5.139 n/a n/a
35 4851.50 812.00 100.013151 1.0000000000000000 1.000000 -1347862.528499 266.457693 44.345738 134.801753 -625.564061 6355.415920 -13.614 0.000 2.255305 0.000000 5.165 n/a n/a
34 4802.00 811.00 100.013207 1.0000000000000000 1.000000 -1348183.649414 266.364901 44.370471 134.806154 -629.335175 6368.611897 -13.635 0.000 2.254049 0.000000 5.174 n/a n/a
34 4901.00 813.00 100.013095 1.0000000000000000 1.000000 -1347541.499749 266.550431 44.321179 134.797372 -621.805129 6342.395197 -13.593 0.000 2.256553 0.000000 5.156 n/a n/a
33 5000.00 814.00 100.013009 0.9991050552714629 0.999207 -1347050.148102 266.597790 44.263203 134.774793 -613.686100 6312.940343 -13.572 0.000 2.259276 2.550945 5.144 n/a n/a
34 4950.50 813.00 100.013064 0.9992381181689056 0.999325 -1347368.714739 266.507128 44.287848 134.779416 -617.464825 6325.753173 -13.593 0.000 2.258053 2.550788 5.153 n/a n/a
35 4802.00 810.00 100.013230 0.9996865240604369 0.999723 -1348324.149912 266.235588 44.363019 134.793514 -628.892863 6365.277168 -13.656 0.000 2.254346 2.550319 5.181 n/a n/a
35 4901.00 812.90 100.013097 1.0000000000000000 1.000000 -1347555.014753 266.538020 44.320547 134.796182 -621.773073 6342.096304 -13.595 0.000 2.256585 0.000000 5.157 n/a n/a
35 4950.50 814.00 100.013040 1.0000000000000000 1.000000 -1347220.563071 266.643114 44.296794 134.793011 -618.058379 6329.549727 -13.572 0.000 2.257794 0.000000 5.147 n/a n/a
36 4901.00 812.80 100.013100 1.0000000000000000 1.000000 -1347568.529654 266.525608 44.319914 134.794992 -621.741018 6341.797371 -13.597 0.000 2.256618 0.000000 5.158 n/a n/a
36 4802.00 811.00 100.013207 1.0000000000000000 1.000000 -1348183.649414 266.364901 44.370471 134.806154 -629.335175 6368.611897 -13.635 0.000 2.254049 0.000000 5.174 n/a n/a
38 4851.50 811.70 100.013158 1.0000000000000000 1.000000 -1347903.075282 266.420421 44.343836 134.798178 -625.466779 6354.516321 -13.620 0.000 2.255402 0.000000 5.167 n/a n/a
35 5000.00 814.90 100.012987 1.0000000000000000 1.000000 -1346913.232008 266.723355 44.271950 134.787484 -614.292500 6316.582487 -13.553 0.000 2.259060 0.000000 5.139 n/a n/a
37 4802.00 810.90 100.013210 1.0000000000000000 1.000000 -1348197.165807 266.352466 44.369835 134.804961 -629.302374 6368.311137 -13.637 0.000 2.254081 0.000000 5.174 n/a n/a
38 4901.00 812.60 100.013104 1.0000000000000000 1.000000 -1347595.559149 266.500780 44.318648 134.792611 -621.676912 6341.199385 -13.601 0.000 2.256682 0.000000 5.160 n/a n/a
36 5000.00 814.80 100.012989 1.0000000000000000 1.000000 -1346926.745535 266.710967 44.271320 134.786297 -614.261190 6316.285421 -13.555 0.000 2.259092 0.000000 5.140 n/a n/a
39 4901.00 812.50 100.013106 1.0000000000000000 1.000000 -1347609.073744 266.488365 44.318016 134.791420 -621.644860 6340.900332 -13.603 0.000 2.256714 0.000000 5.160 n/a n/a
37 5000.00 814.70 100.012991 1.0000000000000000 1.000000 -1346940.258959 266.698577 44.270690 134.785110 -614.229880 6315.988315 -13.557 0.000 2.259124 0.000000 5.141 n/a n/a
39 4950.50 813.60 100.013048 1.0000000000000000 1.000000 -1347274.619715 266.593511 44.294268 134.788257 -617.931651 6328.357649 -13.580 0.000 2.257923 0.000000 5.151 n/a n/a
38 5000.00 814.60 100.012993 1.0000000000000000 1.000000 -1346953.772281 266.686187 44.270060 134.783923 -614.198573 6315.691169 -13.559 0.000 2.259157 0.000000 5.142 n/a n/a
41 4901.00 812.50 100.013106 1.0000000000000000 1.000000 -1347609.073743 266.488365 44.318016 134.791420 -621.644860 6340.900332 -13.603 0.000 2.256714 0.000000 5.160 n/a n/a
41 4802.00 810.50 100.013218 1.0000000000000000 1.000000 -1348251.230355 266.302716 44.367294 134.800186 -629.171183 6367.107697 -13.646 0.000 2.254210 0.000000 5.178 n/a n/a
40 4950.50 813.50 100.013051 0.9999989568315744 0.999999 -1347288.151437 266.581091 44.293633 134.787065 -617.899593 6328.058414 -13.582 0.000 2.257955 2.550788 5.152 n/a n/a
39 5000.00 814.50 100.012996 0.9998647047580164 0.999880 -1346969.598235 266.671674 44.268964 134.782432 -614.118201 6315.247778 -13.561 0.000 2.259177 2.550945 5.142 n/a n/a
42 4802.00 810.40 100.013221 1.0000000000000000 1.000000 -1348264.746236 266.290276 44.366659 134.798992 -629.138388 6366.806736 -13.648 0.000 2.254243 0.000000 5.179 n/a n/a
43 4901.00 811.50 100.013132 0.9986178875059534 0.998777 -1347767.801679 266.342474 44.306894 134.776417 -620.821475 6336.443637 -13.624 0.000 2.256922 2.550632 5.164 n/a n/a
43 4851.50 811.40 100.013164 1.0000000000000000 1.000000 -1347943.621142 266.383140 44.341934 134.794600 -625.369508 6353.616361 -13.626 0.000 2.255498 0.000000 5.170 n/a n/a
40 5000.00 814.60 100.012993 1.0000000000000000 1.000000 -1346953.772281 266.686187 44.270060 134.783923 -614.198573 6315.691169 -13.559 0.000 2.259157 0.000000 5.142 n/a n/a
43 4802.00 810.30 100.013223 1.0000000000000000 1.000000 -1348278.262015 266.277835 44.366023 134.797797 -629.105594 6366.505736 -13.650 0.000 2.254275 0.000000 5.180 n/a n/a
42 4950.50 813.60 100.013048 1.0000000000000000 1.000000 -1347274.619716 266.593511 44.294268 134.788257 -617.931651 6328.357649 -13.580 0.000 2.257923 0.000000 5.151 n/a n/a
41 5000.00 814.60 100.012993 1.0000000000000000 1.000000 -1346953.772282 266.686187 44.270060 134.783923 -614.198573 6315.691169 -13.559 0.000 2.259157 0.000000 5.142 n/a n/a
44 4802.00 810.20 100.013225 0.9999922417924861 0.999993 -1348291.909879 266.265271 44.365361 134.796585 -629.069971 6366.196644 -13.652 0.000 2.254307 2.550319 5.181 n/a n/a
45 4851.50 810.40 100.013190 0.9986136645315885 0.998774 -1348102.407746 266.237049 44.330762 134.779573 -624.540136 6349.160302 -13.648 0.000 2.255706 2.550475 5.173 n/a n/a
43 4950.50 812.60 100.013074 0.9986298643897418 0.998787 -1347433.156250 266.447941 44.283223 134.773296 -617.117065 6323.908706 -13.601 0.000 2.258132 2.550788 5.154 n/a n/a
42 5000.00 813.60 100.013019 0.9984977515533935 0.998669 -1347114.578879 266.538667 44.258597 134.768679 -613.340472 6311.094124 -13.580 0.000 2.259354 2.550945 5.145 n/a n/a
46 4901.00 808.50 100.013211 0.9940613096130563 0.994740 -1348250.920178 265.897621 44.272144 134.730392 -618.198863 6322.615013 -13.688 0.000 2.257513 2.550632 5.171 n/a n/a
46 4851.50 809.40 100.013217 0.9970903115747540 0.997426 -1348263.519749 266.088685 44.319118 134.764223 -623.660317 6344.556578 -13.669 0.000 2.255902 2.550475 5.176 n/a n/a
44 4950.50 811.60 100.013100 0.9971108498064042 0.997441 -1347594.224563 266.299913 44.271671 134.757985 -616.247871 6319.296471 -13.622 0.000 2.258328 2.550788 5.157 n/a n/a
