System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM) rhol rhos viscosity aH2O chisqr
26 8944.44 1431.10 100.111808 1.0000000000000000 1.000000 -1191763.229370 288.895973 36.080789 157.169944 -145.837640 2636.453939 -5.474 0.000 2.774657 0.000000 1.062 n/a n/a
21 10000.00 1448.00 100.110758 1.0000000000000000 1.000000 -1185767.033914 290.165894 35.973808 157.166826 -139.656183 2637.697397 -5.272 0.000 2.782879 0.000000 1.011 n/a n/a
27 8944.44 1431.00 100.111810 1.0000000000000000 1.000000 -1191778.965718 288.886754 36.080526 157.169939 -145.837773 2636.454675 -5.475 0.000 2.774677 0.000000 1.062 n/a n/a
28 8944.44 1430.90 100.111811 1.0000000000000000 1.000000 -1191794.702085 288.877535 36.080264 157.169935 -145.837906 2636.455412 -5.476 0.000 2.774697 0.000000 1.062 n/a n/a
29 8944.44 1430.80 100.111812 1.0000000000000000 1.000000 -1191810.438469 288.868315 36.080002 157.169930 -145.838039 2636.456149 -5.477 0.000 2.774718 0.000000 1.063 n/a n/a
22 10000.00 1447.00 100.110799 0.9963659861539876 0.996791 -1186095.227781 289.975603 35.955519 157.030356 -139.298513 2633.375286 -5.280 0.000 2.783108 3.153375 1.016 n/a n/a
30 8944.44 1430.70 100.111814 1.0000000000000000 1.000000 -1191826.174870 288.859094 36.079739 157.169925 -145.838172 2636.456887 -5.478 0.000 2.774738 0.000000 1.063 n/a n/a
23 10000.00 1448.00 100.110769 0.9985668406748892 0.998735 -1185834.483271 290.126831 35.967630 157.113037 -139.514112 2635.989544 -5.272 0.000 2.782889 3.153003 1.012 n/a n/a
31 8944.44 1430.60 100.111829 0.9975707995331018 0.997861 -1191954.016566 288.784242 36.068800 157.078563 -145.587012 2633.554880 -5.479 0.000 2.774771 3.152674 1.064 n/a n/a
24 10000.00 1449.00 100.110745 1.0000000000000000 1.000000 -1185609.699424 290.257152 35.976435 157.166897 -139.653612 2637.687539 -5.264 0.000 2.782676 0.000000 1.008 n/a n/a
32 8944.44 1430.70 100.111826 0.9977896737939895 0.998054 -1191928.189740 288.799372 36.070024 157.086799 -145.609520 2633.815771 -5.478 0.000 2.774750 3.152637 1.064 n/a n/a
25 10000.00 1448.90 100.110747 1.0000000000000000 1.000000 -1185625.432799 290.248028 35.976172 157.166890 -139.653869 2637.688525 -5.265 0.000 2.782696 0.000000 1.008 n/a n/a
26 10000.00 1448.80 100.110748 1.0000000000000000 1.000000 -1185641.166190 290.238905 35.975910 157.166883 -139.654126 2637.689510 -5.266 0.000 2.782716 0.000000 1.009 n/a n/a
27 10000.00 1448.70 100.110749 1.0000000000000000 1.000000 -1185656.899598 290.229780 35.975647 157.166875 -139.654383 2637.690496 -5.266 0.000 2.782737 0.000000 1.009 n/a n/a
33 8944.44 1430.80 100.111824 0.9980086326885063 0.998247 -1191902.356959 288.814505 36.071249 157.095039 -145.632038 2634.076746 -5.477 0.000 2.774729 3.152600 1.063 n/a n/a
28 10000.00 1448.60 100.110750 1.0000000000000000 1.000000 -1185672.633022 290.220655 35.975384 157.166868 -139.654640 2637.691481 -5.267 0.000 2.782757 0.000000 1.009 n/a n/a
29 10000.00 1448.50 100.110752 1.0000000000000000 1.000000 -1185688.366463 290.211530 35.975121 157.166861 -139.654897 2637.692467 -5.268 0.000 2.782777 0.000000 1.010 n/a n/a
34 8944.44 1430.90 100.111821 0.9982276763075523 0.998440 -1191876.518218 288.829640 36.072474 157.103282 -145.654564 2634.337805 -5.476 0.000 2.774707 3.152563 1.063 n/a n/a
30 10000.00 1448.40 100.110753 1.0000000000000000 1.000000 -1185704.099920 290.202404 35.974859 157.166854 -139.655154 2637.693453 -5.269 0.000 2.782798 0.000000 1.010 n/a n/a
31 10000.00 1448.30 100.110754 1.0000000000000000 1.000000 -1185719.833394 290.193277 35.974596 157.166847 -139.655411 2637.694439 -5.270 0.000 2.782818 0.000000 1.010 n/a n/a
32 10000.00 1448.20 100.110756 1.0000000000000000 1.000000 -1185735.566884 290.184150 35.974333 157.166840 -139.655669 2637.695425 -5.270 0.000 2.782838 0.000000 1.010 n/a n/a
35 8944.44 1431.00 100.111818 0.9984468047438397 0.998633 -1191850.673511 288.844778 36.073699 157.111528 -145.677100 2634.598948 -5.475 0.000 2.774686 3.152526 1.063 n/a n/a
33 10000.00 1448.10 100.110757 1.0000000000000000 1.000000 -1185751.300391 290.175023 35.974071 157.166833 -139.655926 2637.696411 -5.271 0.000 2.782859 0.000000 1.011 n/a n/a
34 10000.00 1448.00 100.110758 1.0000000000000000 1.000000 -1185767.033914 290.165894 35.973808 157.166826 -139.656183 2637.697397 -5.272 0.000 2.782879 0.000000 1.011 n/a n/a
36 8944.44 1431.10 100.111816 0.9986660180884398 0.998826 -1191824.822833 288.859919 36.074925 157.119777 -145.699644 2634.860176 -5.474 0.000 2.774664 3.152489 1.062 n/a n/a
35 10000.00 1447.90 100.110759 1.0000000000000000 1.000000 -1185782.767454 290.156766 35.973545 157.166818 -139.656441 2637.698384 -5.273 0.000 2.782899 0.000000 1.011 n/a n/a
36 10000.00 1447.80 100.110761 1.0000000000000000 1.000000 -1185798.501011 290.147637 35.973283 157.166811 -139.656698 2637.699370 -5.273 0.000 2.782920 0.000000 1.012 n/a n/a
37 10000.00 1447.70 100.110762 1.0000000000000000 1.000000 -1185814.234584 290.138507 35.973020 157.166804 -139.656956 2637.700357 -5.274 0.000 2.782940 0.000000 1.012 n/a n/a
37 8944.44 1431.20 100.111813 0.9988853164325976 0.999019 -1191798.966179 288.875062 36.076151 157.128029 -145.722196 2635.121488 -5.474 0.000 2.774643 3.152452 1.062 n/a n/a
38 10000.00 1447.60 100.110763 1.0000000000000000 1.000000 -1185829.968173 290.129377 35.972757 157.166797 -139.657213 2637.701344 -5.275 0.000 2.782961 0.000000 1.012 n/a n/a
38 8944.44 1431.30 100.111810 0.9991046998688147 0.999212 -1191773.103544 288.890208 36.077378 157.136285 -145.744758 2635.382884 -5.473 0.000 2.774622 3.152415 1.061 n/a n/a
39 10000.00 1447.50 100.110784 0.9974653474150894 0.997762 -1185964.931407 290.051184 35.961569 157.071658 -139.406206 2634.681359 -5.276 0.000 2.782999 3.153189 1.014 n/a n/a
39 8944.44 1431.40 100.111808 0.9993241684885453 0.999405 -1191747.234921 288.905357 36.078605 157.144543 -145.767329 2635.644365 -5.472 0.000 2.774600 3.152378 1.061 n/a n/a
40 10000.00 1447.60 100.110781 0.9976854751394801 0.997957 -1185938.853943 290.066309 35.962781 157.079927 -139.427770 2634.942827 -5.275 0.000 2.782977 3.153152 1.013 n/a n/a
40 8944.44 1431.50 100.111805 0.9995437223846365 0.999598 -1191721.360306 288.920508 36.079833 157.152805 -145.789908 2635.905931 -5.471 0.000 2.774579 3.152341 1.061 n/a n/a
41 10000.00 1447.70 100.110778 0.9979056882339390 0.998151 -1185912.770403 290.081435 35.963992 157.088200 -139.449343 2635.204379 -5.274 0.000 2.782955 3.153115 1.013 n/a n/a
41 8944.44 1431.60 100.111802 0.9997633616482374 0.999792 -1191695.479692 288.935662 36.081061 157.161069 -145.812496 2636.167581 -5.470 0.000 2.774557 3.152304 1.060 n/a n/a
42 10000.00 1447.80 100.110775 0.9981259867934015 0.998346 -1185886.680781 290.096565 35.965204 157.096476 -139.470924 2635.466016 -5.273 0.000 2.782933 3.153078 1.012 n/a n/a
42 8944.44 1431.70 100.111799 0.9999830863716324 0.999985 -1191669.593076 288.950818 36.082289 157.169337 -145.835093 2636.429316 -5.470 0.000 2.774536 3.152267 1.060 n/a n/a

44 10000.00 1448.00 100.110769 0.9985668406748490 0.998735 -1185834.483271 290.126831 35.967630 157.113037 -139.514112 2635.989544 -5.272 0.000 2.782889 3.153003 1.012 n/a n/a
43 8944.44 1431.80 100.111798 1.0000000000000000 1.000000 -1191653.075425 288.960491 36.082626 157.169978 -145.836710 2636.448783 -5.469 0.000 2.774515 0.000000 1.060 n/a n/a
44 8944.44 1431.80 100.111798 1.0000000000000000 1.000000 -1191653.075425 288.960491 36.082626 157.169978 -145.836710 2636.448783 -5.469 0.000 2.774515 0.000000 1.060 n/a n/a
45 10000.00 1448.10 100.110766 0.9987873961805782 0.998930 -1185808.375372 290.141969 35.968843 157.121322 -139.535718 2636.251435 -5.271 0.000 2.782867 3.152966 1.011 n/a n/a
