System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-1.0) rhol rhos viscosity aH2O chisqr
15 4000.00 1358.00 100.141796 0.9982020387457808 0.992670 -1189481.060624 290.773675 37.747124 153.299952 -235.345995 3223.612231 -6.425 0.000 2.667750 0.650738 1.269 n/a n/a
16 4000.00 1355.00 100.062844 0.9997934862360339 0.999154 -1189557.378342 289.945030 37.488409 152.915531 -201.683219 3117.401968 -8.452 0.000 2.670876 0.651403 1.278 n/a n/a
16 4000.00 1355.00 100.095185 0.9982426032061881 0.992836 -1189296.543289 290.372192 37.692977 153.058618 -233.861925 3205.338840 -7.452 0.000 2.670000 0.651448 1.279 n/a n/a
16 4000.00 1355.00 100.141884 0.9982005860120489 0.992670 -1189942.163681 290.491686 37.737649 153.298299 -235.348865 3223.730693 -6.452 0.000 2.668418 0.651429 1.279 n/a n/a
17 4000.00 1352.00 100.142183 0.9997186651121618 0.998850 -1191115.891336 289.872952 37.555057 153.321749 -204.275260 3148.718056 -6.479 0.000 2.668863 0.652064 1.289 n/a n/a
17 4000.00 1352.00 100.206776 0.9996624283247774 0.998621 -1192005.176192 290.022312 37.616489 153.653250 -206.281649 3174.092090 -5.479 0.000 2.666684 0.652039 1.289 n/a n/a
17 4000.00 1352.00 100.141973 0.9981991263449785 0.992670 -1190403.287275 290.209183 37.728176 153.296355 -235.351758 3223.850188 -6.479 0.000 2.669086 0.652123 1.289 n/a n/a
18 4000.00 1349.00 100.095454 0.9997600500828322 0.999019 -1190928.384821 289.470999 37.501134 153.080864 -202.830495 3130.351208 -7.506 0.000 2.671112 0.652779 1.298 n/a n/a
18 4000.00 1349.00 100.062931 0.9997907556279182 0.999144 -1190476.070133 289.380735 37.470005 152.913982 -201.771338 3117.515107 -8.506 0.000 2.672209 0.652793 1.297 n/a n/a
18 4000.00 1349.00 100.142064 0.9981976604867119 0.992670 -1190864.430660 289.926164 37.718705 153.294020 -235.354655 3223.970707 -6.506 0.000 2.669755 0.652819 1.299 n/a n/a
