Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
6 1613.00 1258.15 95.896505 58.0835 0.855089 18.1446 0.573307 0 2.92503 0 3.23265 0 0 5.88134 4.37972 1.5329 0 4.39195
6 4169.00 1108.15 108.521600 64.9855 0.319285 14.3379 0.395112 0 2.01587 0.0652769 0.309762 0 0 1.44025 5.20795 2.93798 0 7.98519
6 2320.00 1318.15 97.460571 51.3849 1.54934 15.4627 1.15846 0 5.91049 0.092345 4.57621 0 0 6.95666 4.82246 3.18077 0 4.90571
10 2000.00 1196.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.87981755
6 7020.00 1398.15 108.239871 48.6604 0.914635 15.1331 1.30368 0 6.65143 0.203252 6.91058 0 0 8.13009 3.86179 0.757577 0 7.47346
10 3000.00 1436.15 100.897586 50.5463 0.852349 16.155 1.86584 0 9.51955 0.158577 8.22616 0 0 9.86148 1.78399 0.336975 0 0.693773
10 12000.00 1436.15 100.322884 51.0352 0.627972 19.3376 1.12924 0 5.7614 0.159485 5.88101 0 0 8.3929 3.52861 0.478455 0.179421 3.48874
10 7000.00 1196.15 104.468117 55.4236 0.756212 17.3259 1.32683 0 6.76953 0.153157 1.75173 0 0 4.49898 4.47984 2.53666 0 4.9776
10 7000.00 1431.15 101.798134 49.3133 1.15916 16.798 1.46789 0 7.48919 0.166997 8.09445 0 0 9.9216 3.01577 0.510815 0 2.06291
10 1.01 1406.15 98.887508 51.2704 1.85059 13.4496 2.10594 0 10.7445 0.212363 7.13943 0 0 11.6294 1.48654 0.111238 0 0
11 1500.00 1268.15 102.845572 56.7744 1.01122 16.9088 0.639864 0 3.2646 0.165296 3.13091 0 0 8.13842 5.27004 1.39043 0 3.30593
11 7000.00 1403.15 101.809207 50.683 1.03134 16.6979 1.96368 0 10.0187 0.166979 5.88355 0 0 9.41958 2.09215 0.47147 0 1.571577 5.28132
11 16000.00 1598.15 99.197747 46.7753 0.685499 17.3391 1.49474 0 7.62618 0.11089 12.6011 0 0 10.8369 2.30852 0.0705661 0.151213 0
11 1030.00 1463.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.25025
6 3949.00 1274.15 107.062496 50.3444 0.803269 17.7466 1.3009 0 6.63724 0.177466 4.02569 0 0 8.94804 2.8955 0.700525 0 6.42028
11 2000.00 1193.15 104.512544 64.6047 0.813299 14.2758 0.69661 0 3.55412 0.124387 1.26301 0 0 4.15261 4.38225 1.25344 0 4.8798
11 3000.00 1433.15 100.897586 50.5463 0.852349 16.155 1.86584 0 9.51955 0.158577 8.22616 0 0 9.86148 1.78399 0.336975 0 0.693773
6 1500.00 1083.15 96.300457 74.4317 0.347177 11.4579 0.229514 0 1.17099 0.0695739 0.299756 0 0 1.92955 3.84932 1.54672 0.113101 4.55468
11 7000.00 1193.15 104.468117 55.4236 0.756212 17.3259 1.32683 0 6.76953 0.153157 1.75173 0 0 4.49898 4.47984 2.53666 0 4.9776 3.48874
11 7000.00 1428.15 101.798134 49.3133 1.15916 16.798 1.46789 0 7.48919 0.166997 8.09445 0 0 9.9216 3.01577 0.510815 0 2.06291
7 1613.00 1255.15 95.901334 58.0805 0.855045 18.1436 0.573279 0 2.92488 0 3.23249 0 0 5.88104 4.3795 1.53283 0 4.39676
12 10000.00 1415.15 100.124503 49.7381 1.07866 19.1362 1.24795 0 6.36707 0.109863 5.47319 0 0 8.48943 3.58554 0.509366 0 4.26469
11 12000.00 1433.15 100.353634 48.628 0.597886 16.4419 1.33641 0 6.81839 0.109612 8.27075 0 0 9.11776 2.83996 0.41852 0.139507 5.28132
7 2320.00 1315.15 97.467397 51.3813 1.54924 15.4616 1.15838 0 5.91007 0.0923386 4.57589 0 0 6.95617 4.82213 3.18055 0 4.91237
12 1030.00 1460.15 100.877458 49.8526 0.33722 17.1828 1.04271 0 5.31991 0 9.70278 0 0 11.3928 2.91885 0 0 2.2502505661 0.151213 0
7 4169.00 1105.15 108.539890 64.9745 0.319231 14.3355 0.395045 0 2.01553 0.0652659 0.30971 0 0 1.44 5.20707 2.93748 0 8.000698
