System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM-2.0) rhol rhos viscosity aH2O chisqr
37 10000.00 1354.37 94.886515 0.9967415975291559 0.997168 -1139660.240386 266.970604 34.104360 147.834184 -134.919222 2396.508261 -8.052 0.000 2.781051 3.201008 1.428 n/a n/a
41 1000.00 1322.58 98.179418 0.9964067917695218 0.996960 -1211976.127338 275.821335 36.521705 153.961335 -179.893623 2565.130964 -8.958 0.000 2.686758 3.176997 1.446 n/a n/a
41 4000.00 1333.34 96.817305 0.9965592006379205 0.997061 -1184272.717023 272.122993 35.579433 151.482327 -161.424128 2508.203572 -8.651 0.000 2.719791 3.185350 1.446 n/a n/a
38 10000.00 1352.36 94.578698 0.9967707398187481 0.997194 -1136318.252889 265.891314 33.997916 147.278566 -134.644353 2387.428832 -8.070 0.000 2.780716 3.201544 1.444 n/a n/a
42 1000.00 1320.57 97.827988 0.9964411413266652 0.996990 -1208002.752139 274.606627 36.397904 153.325368 -179.569967 2552.872727 -8.977 0.000 2.686258 3.177351 1.462 n/a n/a
42 4000.00 1331.34 96.485530 0.9965908337404683 0.997089 -1180573.962083 270.969595 35.463254 150.882348 -161.118078 2497.380129 -8.669 0.000 2.719360 3.185776 1.462 n/a n/a
39 10000.00 1350.36 94.274641 0.9967995075423450 0.997220 -1133019.018479 264.824046 33.892755 146.729760 -134.373227 2378.454674 -8.087 0.000 2.780385 3.202095 1.460 n/a n/a
43 1000.00 1318.57 97.481182 0.9964748942212309 0.997019 -1204083.264448 273.406586 36.275714 152.697729 -179.251774 2540.774645 -8.997 0.000 2.685763 3.177721 1.479 n/a n/a
43 4000.00 1329.35 96.157950 0.9966219830761422 0.997116 -1176923.686908 269.829551 35.348526 150.289943 -160.816693 2486.691588 -8.688 0.000 2.718934 3.186217 1.478 n/a n/a
41 7000.00 1338.55 94.883529 0.9967359283114176 0.997189 -1151028.602934 266.240506 34.486161 147.933837 -146.053853 2424.398084 -8.398 0.000 2.750101 3.194730 1.483 n/a n/a

44 1000.00 1316.57 97.138901 0.9965080748047983 0.997048 -1200216.558291 272.220903 36.155100 152.078245 -178.938929 2528.833397 -9.016 0.000 2.685273 3.178108 1.496 n/a n/a
44 4000.00 1327.35 95.834483 0.9966526679539137 0.997143 -1173320.988699 268.702602 35.235221 149.704969 -160.519878 2476.135406 -8.707 0.000 2.718512 3.186675 1.495 n/a n/a
41 10000.00 1346.36 93.677550 0.9968559741646654 0.997271 -1126546.009816 262.724743 33.686195 145.652132 -133.841934 2360.815178 -8.123 0.000 2.779732 3.203243 1.492 n/a n/a
45 1000.00 1314.56 96.801052 0.9965407064543570 0.997076 -1196401.570950 271.049281 36.036030 151.466753 -178.631318 2517.045794 -9.035 0.000 2.684786 3.178511 1.512 n/a n/a
45 4000.00 1325.36 95.515050 0.9966829068868849 0.997170 -1169764.998139 267.588498 35.123312 149.127289 -160.227544 2465.709131 -8.725 0.000 2.718093 3.187150 1.511 n/a n/a
43 7000.00 1334.54 94.270600 0.9967938395152942 0.997240 -1144299.056434 264.092145 34.272755 146.826467 -145.498800 2405.453890 -8.434 0.000 2.749367 3.195806 1.516 n/a n/a
42 10000.00 1344.36 93.384455 0.9878061976528297 0.989345 -1123757.113334 261.454455 33.539827 144.840174 -132.670677 2347.207529 -8.141 0.000 2.779956 3.186326 1.503 n/a n/a
46 1000.00 1312.56 96.467542 0.9965728116050856 0.997105 -1192637.281002 269.891433 35.918473 150.863094 -178.328834 2505.408765 -9.055 0.000 2.684304 3.178931 1.529 n/a n/a
46 4000.00 1323.36 95.199576 0.9967127176147070 0.997196 -1166254.877878 266.487000 35.012775 148.556773 -159.939604 2455.410402 -8.744 0.000 2.717678 3.187640 1.528 n/a n/a
44 7000.00 1332.54 93.969716 0.9968222438507238 0.997266 -1140998.442543 263.035771 34.167971 146.282901 -145.227116 2396.149318 -8.453 0.000 2.749005 3.196368 1.532 n/a n/a
43 10000.00 1342.35 92.247855 0.9877062869775109 0.989261 -1110143.939951 258.111306 33.128562 143.011276 -131.289764 2322.097519 -8.159 0.000 2.780166 3.187587 1.514 n/a n/a
47 4000.00 1321.36 94.887987 0.9967421171292842 0.997222 -1162789.821073 265.397874 34.903583 147.993292 -159.655973 2445.236942 -8.763 0.000 2.717266 3.188146 1.544 n/a n/a
45 7000.00 1330.54 93.672467 0.9968502992305558 0.997291 -1137739.671819 261.990996 34.064437 145.745933 -144.959235 2386.953960 -8.471 0.000 2.748646 3.196946 1.548 n/a n/a
48 4000.00 1319.37 94.580214 0.9967711216927201 0.997248 -1159369.049993 264.320895 34.795713 147.436725 -159.376572 2435.186553 -8.782 0.000 2.716858 3.188668 1.560 n/a n/a

46 7000.00 1328.53 93.378791 0.9968780187796988 0.997315 -1134522.076411 260.957621 33.962134 145.215455 -144.695086 2377.866040 -8.489 0.000 2.748291 3.197539 1.564 n/a n/a
49 1000.00 1306.55 95.492190 0.9966661789133615 0.997186 -1181638.961769 266.497817 35.574588 149.097621 -177.451111 2471.372145 -9.113 0.000 2.682881 3.180291 1.579 n/a n/a
45 10000.00 1338.35 90.006396 0.9878897758187783 0.989428 -1083276.402044 251.537255 32.319462 139.419714 -128.601485 2272.780357 -8.195 0.000 2.780568 3.190139 1.535 n/a n/a
47 7000.00 1326.53 93.088630 0.9969054150048619 0.997340 -1131345.010703 259.935457 33.861040 144.691364 -144.434606 2368.883842 -8.508 0.000 2.747939 3.198147 1.580 n/a n/a
46 10000.00 1336.35 88.918525 0.9879762736514593 0.989507 -1070238.996812 248.347859 31.926880 137.677236 -127.296777 2248.802037 -8.213 0.000 2.780759 3.191429 1.546 n/a n/a
48 7000.00 1324.53 92.801926 0.9969324998174651 0.997364 -1128207.850256 258.924319 33.761137 144.173561 -144.177728 2360.005702 -8.527 0.000 2.747590 3.198770 1.597 n/a n/a
51 1000.00 1302.54 94.862131 0.9967261628967650 0.997239 -1174543.202758 264.299469 35.352375 147.957158 -176.889773 2449.382662 -9.152 0.000 2.681952 3.181281 1.613 n/a n/a
47 10000.00 1334.35 87.851525 0.9880594342302790 0.989583 -1057453.277093 245.220517 31.541901 135.968622 -126.017116 2225.255638 -8.231 0.000 2.780943 3.192728 1.557 n/a n/a
52 1000.00 1300.54 94.552927 0.9967555311184538 0.997264 -1171063.732860 263.218797 35.243305 147.397489 -176.615974 2438.590779 -9.172 0.000 2.681493 3.181800 1.630 n/a n/a
50 7000.00 1320.52 92.238669 0.9969857799571170 0.997412 -1122050.847230 256.934412 33.564827 143.156435 -143.674539 2342.555212 -8.564 0.000 2.746902 3.200062 1.629 n/a n/a
48 10000.00 1332.34 86.804665 0.9881393716566464 0.989657 -1044910.387286 242.153091 31.164260 134.292694 -124.761625 2202.125922 -8.249 0.000 2.781121 3.194037 1.568 n/a n/a
