Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
27 7000.00 1366.59 99.267811 48.7975 0.574989 14.6773 0.504329 0 7.10835 14.5853 11.829 1.51313 0.0807002 0 0.2017599
27 10000.00 1374.39 97.836718 48.9173 0.583399 14.892 0.492936 0 7.09777 14.0939 11.9958 1.53526 0.0818806 0 0.204702
30 4000.00 1353.30 99.998083 48.7374 0.57079 14.5702 0.518996 0 7.10318 14.8305 11.7463 1.50208 0.0801108 0 0.200277
29 1000.00 1334.90 99.999941 48.7365 0.570779 14.5699 0.537532 0 7.08636 14.8302 11.746 1.50205 0.0801094 0 0.200273
28 7000.00 1364.59 98.903336 48.8275 0.577108 14.7314 0.504851 0 7.10349 14.4611 11.8708 1.5187 0.0809976 0 0.202494
31 4000.00 1353.30 99.998083 48.7374 0.57079 14.5702 0.518996 0 7.10318 14.8305 11.7463 1.50208 0.0801108 0 0.200277
30 1000.00 1334.80 99.999942 48.7365 0.570779 14.5699 0.537546 0 7.08635 14.8302 11.746 1.50205 0.0801094 0 0.200273
29 7000.00 1362.59 98.543736 48.8573 0.579214 14.7852 0.505364 0 7.0985 14.3377 11.9123 1.52425 0.0812932 0 0.203233
29 10000.00 1370.38 97.151159 48.9756 0.587516 14.9971 0.49382 0 7.0861 13.8527 12.0773 1.5461 0.0824584 0 0.2061463
32 1000.00 1334.60 99.999945 48.7365 0.570779 14.5699 0.537572 0 7.08633 14.8302 11.746 1.50205 0.0801094 0 0.200273
30 7000.00 1360.58 98.188904 48.8869 0.581307 14.8386 0.50587 0 7.09337 14.2149 11.9536 1.52975 0.0815869 0 0.203967
30 10000.00 1368.38 96.814986 49.0045 0.589556 15.0492 0.494252 0 7.08008 13.7332 12.1177 1.55146 0.0827447 0 0.206862
33 1000.00 1334.50 99.989431 48.7374 0.570839 14.5714 0.537597 0 7.08623 14.8267 11.7472 1.50221 0.0801178 0 0.200294
31 7000.00 1358.58 97.838738 48.9163 0.583387 14.8917 0.506369 0 7.0881 14.0929 11.9947 1.53523 0.0818789 0 0.204697
31 10000.00 1366.38 96.483099 49.0332 0.591584 15.101 0.494675 0 7.07392 13.6144 12.1578 1.5568 0.0830294 0 0.207573
34 1000.00 1334.60 99.999945 48.7365 0.570779 14.5699 0.537572 0 7.08633 14.8302 11.746 1.50205 0.0801094 0 0.200273
32 7000.00 1356.58 97.493141 48.9455 0.585455 14.9445 0.506859 0 7.08269 13.9716 12.0355 1.54067 0.0821692 0 0.205423
35 4000.00 1345.32 98.540842 48.8566 0.579231 14.7856 0.521334 0 7.08612 14.3348 11.9121 1.52429 0.0812955 0 0.203239
33 7000.00 1354.57 97.152017 48.9746 0.587511 14.997 0.507342 0 7.07715 13.851 12.076 1.54608 0.0824577 0 0.206144
36 4000.00 1343.32 98.186752 48.886 0.58132 14.8389 0.521899 0 7.08148 14.2121 11.9531 1.52979 0.0815887 0 0.2039723
33 10000.00 1362.38 95.831858 49.0902 0.595604 15.2036 0.495501 0 7.06122 13.3789 12.2374 1.56738 0.0835936 0 0.208984
34 7000.00 1352.57 96.815275 49.0035 0.589555 15.0492 0.507817 0 7.07148 13.7311 12.1163 1.55146 0.0827445 0 0.206861
37 1000.00 1330.59 99.261158 48.7963 0.575027 14.6783 0.538923 0 7.07929 14.5801 11.8291 1.51323 0.0807056 0 0.201764
34 10000.00 1360.37 95.512344 49.1184 0.597597 15.2544 0.495904 0 7.05469 13.2622 12.2769 1.57262 0.0838733 0 0.209683
35 7000.00 1350.57 96.482829 49.0322 0.591586 15.101 0.508285 0 7.06567 13.6119 12.1564 1.55681 0.0830296 0 0.207574
38 1000.00 1328.59 98.895221 48.8262 0.577155 14.7326 0.53959 0 7.07551 14.4548 11.8708 1.51883 0.0810042 0 0.202511
35 10000.00 1358.37 95.196800 49.1464 0.599578 15.305 0.496299 0 7.04803 13.1462 12.3162 1.57784 0.0841513 0 0.210378
36 7000.00 1348.56 96.154593 49.0607 0.593605 15.1526 0.508745 0 7.05973 13.4935 12.1963 1.56212 0.083313 0 0.208283
39 1000.00 1326.59 98.534229 48.8559 0.57927 14.7866 0.540248 0 7.07158 14.3302 11.9121 1.52439 0.081301 0 0.203252
39 4000.00 1337.33 97.152008 48.9733 0.587511 14.997 0.523548 0 7.06672 13.8481 12.0748 1.54608 0.0824577 0 0.206144
36 10000.00 1356.37 94.885154 49.1744 0.601547 15.3553 0.496687 0 7.04124 13.0309 12.3552 1.58302 0.0844277 0 0.2110
40 1000.00 1324.58 98.178070 48.8855 0.581371 14.8403 0.540898 0 7.0675 14.2063 11.9533 1.52992 0.0815959 0 0.20399
40 4000.00 1335.34 96.815953 49.0021 0.58955 15.049 0.524082 0 7.06152 13.7282 12.1149 1.55145 0.0827439 0 0.20686
37 10000.00 1354.37 94.577336 49.2021 0.603505 15.4053 0.497068 0 7.03434 12.9162 12.394 1.58817 0.0847024 0 0.211756
41 1000.00 1322.58 97.826639 48.9148 0.58346 14.8936 0.541539 0 7.06328 14.0832 11.9942 1.53542 0.0818891 0 0.204723
41 4000.00 1333.34 96.484176 49.0306 0.591578 15.1008 0.524609 0 7.05619 13.609 12.1547 1.55678 0.0830284 0 0.207571
38 10000.00 1352.36 94.273279 49.2297 0.605451 15.4549 0.497443 0 7.02732 12.8023 12.4325 1.59329 0.0849756 0 0.212439
42 1000.00 1320.57 97.479832 48.944 0.585535 14.9466 0.542172 0 7.05891 13.9608 12.0348 1.54088 0.0821804 0 0.205451
42 4000.00 1331.34 96.156595 49.0591 0.593593 15.1522 0.525128 0 7.05073 13.4905 12.1944 1.56209 0.0833113 0 0.208278
40 7000.00 1340.55 94.882169 49.1733 0.601566 15.3558 0.510513 0 7.0347 13.0264 12.3534 1.58307 0.0844303 0 0.2110768
43 1000.00 1318.57 97.137550 48.973 0.587599 14.9992 0.542797 0 7.05441 13.8391 12.0752 1.54631 0.08247 0 0.206175
43 4000.00 1329.35 95.833127 49.0873 0.595597 15.2034 0.525639 0 7.04514 13.3726 12.2338 1.56736 0.0835925 0 0.208981
40 10000.00 1348.36 93.676185 49.2844 0.609311 15.5535 0.498171 0 7.01291 12.5764 12.509 1.60345 0.0855173 0 0.213793
44 1000.00 1316.57 96.799700 49.0018 0.589649 15.0516 0.543414 0 7.04976 13.7181 12.1154 1.55171 0.0827578 0 0.206895
44 4000.00 1327.35 95.513693 49.1154 0.597589 15.2542 0.526142 0 7.03941 13.2555 12.273 1.5726 0.0838721 0 0.20968
42 7000.00 1336.54 94.269239 49.2286 0.605477 15.4556 0.511354 0 7.02143 12.7971 12.4307 1.59336 0.0849793 0 0.2124484
45 1000.00 1314.56 96.466189 49.0304 0.591688 15.1036 0.544023 0 7.04497 13.5978 12.1553 1.55707 0.0830439 0 0.20761
45 4000.00 1325.36 95.198218 49.1433 0.599569 15.3048 0.526639 0 7.03355 13.139 12.3119 1.57781 0.08415 0 0.210375
43 7000.00 1334.54 93.968353 49.256 0.607416 15.5051 0.511763 0 7.01461 12.6834 12.469 1.59846 0.0852514 0 0.213128
42 10000.00 1344.36 92.245743 49.2697 0.616084 15.7339 0.499904 0 7.04421 12.3719 12.4833 1.62576 0.0868434 0 0.217108
46 1000.00 1312.56 96.136930 49.0589 0.593714 15.1553 0.544624 0 7.04004 13.4783 12.195 1.56241 0.0833283 0 0.208321
46 4000.00 1323.36 94.886628 49.1711 0.601538 15.355 0.527128 0 7.02757 13.0233 12.3507 1.58299 0.0844263 0 0.211066
