Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
22 4000.00 1353.90 99.998076 48.7374 0.57079 14.5702 0.518925 0 7.10325 14.8305 11.7463 1.50208 0.0801109 0 0.200277
23 4000.00 1353.80 99.998077 48.7374 0.57079 14.5702 0.518937 0 7.10324 14.8305 11.7463 1.50208 0.0801109 0 0.200277
25 7000.00 1370.60 99.996507 48.7382 0.570799 14.5704 0.503274 0 7.11745 14.8308 11.7464 1.5021 0.0801121 0 0.20028
24 4000.00 1353.70 99.998078 48.7374 0.57079 14.5702 0.518949 0 7.10323 14.8305 11.7463 1.50208 0.0801109 0 0.200277
23 10000.00 1382.40 99.633482 48.7683 0.572879 14.6235 0.489252 0 7.12582 14.7098 11.7876 1.50758 0.080404 0 0.20101
27 1000.00 1334.00 99.999908 48.7365 0.570779 14.5699 0.537207 0 7.08666 14.8302 11.746 1.50205 0.0801094 0 0.200273
26 7000.00 1368.60 99.996378 48.7383 0.5708 14.5704 0.501989 0 7.11861 14.8308 11.7465 1.5021 0.0801122 0 0.200281
26 4000.00 1353.50 99.998081 48.7374 0.57079 14.5702 0.518973 0 7.1032 14.8305 11.7463 1.50208 0.0801108 0 0.200277
24 10000.00 1380.39 99.264676 48.7985 0.575007 14.6778 0.489745 0 7.12072 14.5853 11.8297 1.51318 0.0807027 0 0.201757
27 4000.00 1353.40 99.998082 48.7374 0.57079 14.5702 0.518984 0 7.10319 14.8305 11.7463 1.50208 0.0801108 0 0.200277
27 7000.00 1366.59 99.638613 48.7673 0.572849 14.6227 0.502452 0 7.1143 14.7107 11.7869 1.5075 0.0803999 0 0.201
28 4000.00 1353.30 99.998083 48.7374 0.57079 14.5702 0.518996 0 7.10318 14.8305 11.7463 1.50208 0.0801108 0 0.200277
28 1000.00 1335.00 99.999940 48.7365 0.570779 14.5699 0.537519 0 7.08638 14.8302 11.746 1.50205 0.0801094 0 0.200273
25 10000.00 1378.39 98.900838 48.8284 0.577122 14.7318 0.490229 0 7.11549 14.4615 11.8716 1.51874 0.0809996 0 0.202499
29 4000.00 1353.20 99.998079 48.7374 0.57079 14.5702 0.518962 0 7.10321 14.8305 11.7463 1.50208 0.0801109 0 0.200277
28 7000.00 1364.59 99.269155 48.7974 0.574981 14.6771 0.50299 0 7.10958 14.5858 11.8289 1.51311 0.0806991 0 0.201748
29 1000.00 1334.90 99.999941 48.7365 0.570779 14.5699 0.537532 0 7.08636 14.8302 11.746 1.50205 0.0801094 0 0.200273
30 1000.00 1334.80 99.999942 48.7365 0.570779 14.5699 0.537546 0 7.08635 14.8302 11.746 1.50205 0.0801094 0 0.200273
30 4000.00 1353.30 99.998083 48.7374 0.57079 14.5702 0.518996 0 7.10318 14.8305 11.7463 1.50208 0.0801108 0 0.200277
26 10000.00 1376.39 98.541860 48.8582 0.579225 14.7855 0.490706 0 7.11012 14.3384 11.9132 1.52428 0.0812947 0 0.203237
