CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[18375],OCEAN ISLAND,AZORES / HIRONDELLE BASIN,,37.9375,37.9375,-26.1848,-26.1848,SAQ,-2919,-2919,s_L09D21R3 [18375],BASALT [18375],,,,,,,,,VOL,,,,,WR [18375] ,45.53,3.034,,12.84,,,,10.48,12.25,10.3,0.162,4.08,1.35,2.73,0.47,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.07,68.03,,35.55,7.29,2.36,,0.9,5.09,,,,1.67,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815955
[696][18464][11112][21396],OCEAN ISLAND,AZORES / PICO,,38.51,38.51,-28.4,-28.4,SAE,,,s_P29 [696],"BASALT, ALKALINE [696] / NOT GIVEN [21396]",,,,,,,1718,,VOL,,,,,WR [696] ,49.74,2.21,,14.57,,,,9.3,9.17,8.16,0.17,5.71,1.59,4.12,0.45,,,,,,,,,,,,,,,,-0.18,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,24,,172,460,,,36,131,42,104,21,,,,,29,533,31,267,48,,,,,,,,,,,,0.33,430,37,79.2,,38.3,7.48,2.46,,1.06,,,,,2.77,0.39,5.97,3.38,,,,,,,,0.032,5,,3.918,1.244,0.512884,,,0.7038,,19.71,,15.59,,39.19,,,,,,,,0.28299116,,,,,,,102545-P29
[696][18464][21958][11112][21396],OCEAN ISLAND,AZORES / PICO,,38.5,38.5,-28.4,-28.4,SAE,,,s_P4 [696],"BASALT, ALKALINE [696] / NOT GIVEN [21958]",,,,,,,1562,,VOL,,,,,WR [696] ,47.26,2.49,,13.7,,,,9.92,10.66,10.36,0.16,3.9,0.96,2.94,0.37,,,,,,,,,,,,,,,,-0.26,,,,,,,,,,,,,,5.5,,4.3,,,,,,,,,,,,30,,245,525,,,48,206,51,99,20,,,,,63,495,26,184,33,,,,,,,,1.54,,,,0.32,272,25.5,55.5,,28.7,6.41,2.14,,0.94,,,,,2.1,0.31,4.43,2.34,,,,,,,,0.017,5,,2.355,0.777,0.512906,,,0.703788,,19.59,,15.57,,39,,,,,,,,0.28301265,,,,,,,102546-P4
[696][18464][11112][21396],OCEAN ISLAND,AZORES / PICO,,38.5,38.5,-28.4,-28.4,SAE,,,s_P5 [696],"BASALT, ALKALINE [696] / NOT GIVEN [21396]",,,,,,,1562,,VOL,,,,,WR [696] ,48.03,2.49,,14.49,,,,9.79,10.48,9.63,0.16,4.14,1.01,3.13,0.4,,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,28,,238,433,,,44,165,46,96,20,,,,,36,520,26,189,35,,,,,,,,,,,,0.25,274,27.2,56.5,,29.5,6.43,2.18,,0.96,,,,,2.25,0.3,4.61,2.36,,,,,,,,0.012,4,,2.457,0.794,0.512918,,,0.70385,,19.54,,15.56,,38.95,,,,,,,,0.283012,,,,,,,102546-P5
[18088],OCEAN ISLAND,AZORES / PICO,PICO FISSURAL ZONE,38.43152,38.43152,-28.16171,-28.16171,SAE,,,s_Sc11-A2 [18088],BASALT [18088],,8000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.49,3.235,,15.64,,,,10.67,9.172,6.878,0.1684,4.66,1.173,3.487,0.67,,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,234,186.3,,,38.32,99.5,35.85,121.3,23.94,1.487,,,,25.4,559.4,30.75,280.3,46.43,,,,,,,,,,,,0.275,292,32.06,71.84,8.606,39.03,8.308,2.805,7.77,1.116,6.182,1.108,2.805,0.385,2.396,0.352,6.101,3.518,,,,,,,,,1.9837,,3.321,1.214,,,,,,,,,,,,,,,,,,,,,,,,,1040322
[18088],OCEAN ISLAND,AZORES / PICO,PICO FISSURAL ZONE,38.4335,38.4335,-28.1581,-28.1581,SAE,,,s_Sc11-B [18088],BASALT [18088],,8000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.85,3.123,,15.478,,,,10.74,9.138,7.537,0.1671,4.382,1.125,3.257,0.63,,,,,,,,,,,,,,,,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89,,238.1,223.8,,,42.06,128.9,39.47,123.1,24.24,1.525,,,,25.15,571.8,30.41,267.1,41.01,,,,,,,,,,,,0.277,280.3,30.49,68.67,8.286,37.9,8.23,2.762,7.653,1.092,5.982,1.081,2.79,0.379,2.375,0.341,5.809,3.329,,,,,,,,,1.9553,,3.074,1.137,,,,,,,,,,,,,,,,,,,,,,,,,1040323
[18088],OCEAN ISLAND,AZORES / PICO,PICO FISSURAL ZONE,38.43459,38.43459,-28.1849,-28.1849,SAE,,,s_Sc11-C [18088],BASALT [18088],,8000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.55,2.924,,15.195,,,,10.31,9.648,8.121,0.1634,4.489,1.147,3.342,0.54,,,,,,,,,,,,,,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.34,,232.6,265.6,,,42.92,140.9,40.19,113.1,22.11,1.448,,,,24.76,545,26.04,221.5,37.02,,,,,,,,,,,,0.283,269.2,27.79,61.34,7.253,32.71,6.992,2.37,6.509,0.935,5.173,0.938,2.406,0.33,2.083,0.303,5.232,3.079,,,,,,,,,1.9665,,3.01,1.074,,,,,,,,,,,,,,,,,,,,,,,,,1040324
[18088],OCEAN ISLAND,AZORES / PICO,PICO FISSURAL ZONE,38.4465,38.4465,-28.22921,-28.22921,SAE,,,s_Sc11-D [18088],BASALT [18088],,8000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.85,2.939,,16.795,,,,10.12,9.493,6.109,0.1645,5.101,1.262,3.839,0.58,,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.48,,237,119.7,,,36.18,78.71,37.36,117.8,24.68,1.523,,,,26.39,682.2,29.5,260.8,42.34,,,,,,,,,,,,0.286,296.1,32.07,71.11,8.392,37.96,8.008,2.686,7.352,1.055,5.844,1.047,2.714,0.374,2.334,0.339,5.694,3.422,,,,,,,,,2.167,,3.289,1.16,,,,,,,,,,,,,,,,,,,,,,,,,1040325
[18088],OCEAN ISLAND,AZORES / PICO,PICO FISSURAL ZONE,38.44688,38.44688,-28.23176,-28.23176,SAE,,,s_Sc11-E [18088],BASALT [18088],,8000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.38,2.993,,17.173,,,,9.95,9.917,6.13,0.1585,4.707,1.135,3.572,0.54,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,234.9,125.4,,,35.89,74.55,32.89,111.3,23.28,1.419,,,,23.24,683,27.16,220.3,38.9,,,,,,,,,,,,0.259,273.2,29.67,65.45,7.797,34.95,7.419,2.497,6.831,0.986,5.435,0.971,2.487,0.34,2.159,0.313,5.245,3.239,,,,,,,,,2.0073,,3.047,1.069,,,,,,,,,,,,,,,,,,,,,,,,,1040326
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 23 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.87,2.408,,14.32,,,,9.64,10.12,9.31,0.156,3.9,1,2.9,0.43,,,,,,,,,,,,,,,,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,256,450,,,45,200,50,100,20,2.1,,,,21,510,22.4,196,34.7,,,,,,,,,,,,0.2,273,26.4,53.2,6.75,28.3,6.11,1.92,5.37,0.86,4.53,0.84,2.19,0.299,1.79,0.279,3.8,2.51,,,,,,,,,,,2.41,0.83,,,,,,,,,,,,,,,,,,,,,,,,,1040327
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 24 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.44,2.451,,12.62,,,,10.03,11.36,10.57,0.164,3.6,0.91,2.69,0.37,,,,,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,280,690,,,50,210,60,90,18,2.2,,,,19,499,21.3,173,30.7,,,,,,,,,,,,0.1,264,24.7,49,6.16,26.3,5.86,1.88,5.07,0.79,4.29,0.79,2.02,0.292,1.73,0.263,3.5,2.17,,,,,,,,,,,2.38,0.72,,,,,,,,,,,,,,,,,,,,,,,,,1040328
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 25 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,48.47,2.965,,15.09,,,,10.18,10.66,7.91,0.155,3.82,0.89,2.93,0.5,,,,,,,,,,,,,,,,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,268,260,,,43,120,40,100,20,2,,,,18,530,24.1,221,36.7,,,,,,,,,,,,0.2,235,25.6,52.8,6.91,29.9,6.86,2.19,6.05,0.91,5.01,0.89,2.35,0.317,1.96,0.301,4.2,2.75,,,,,,,,,,,2.56,0.82,,,,,,,,,,,,,,,,,,,,,,,,,1040329
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 26 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.23,3.371,,16.76,,,,11,9.29,5.74,0.178,4.71,1.23,3.48,0.71,,,,,,,,,,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,280,80,,,36,60,30,120,24,2.1,,,,23,661,30.9,298,55.6,,,,,,,,,,,,0.2,358,39.7,79.7,10,41,8.94,2.79,7.31,1.15,6.32,1.11,2.97,0.412,2.51,0.38,5.6,4.11,,,,,,,,,,,3.72,1.27,,,,,,,,,,,,,,,,,,,,,,,,,1040330
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 27 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.12,2.926,,16.52,,,,10,10.38,7.28,0.152,4.01,0.97,3.04,0.53,,,,,,,,,,,,,,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,254,210,,,42,130,30,100,22,2,,,,21,658,23.8,233,41.5,,,,,,,,,,,,0.2,275,29.4,59.7,7.42,31.4,6.99,2.21,5.85,0.93,4.84,0.89,2.43,0.319,2,0.288,4.4,2.99,,,,,,,,,,,2.78,0.91,,,,,,,,,,,,,,,,,,,,,,,,,1040331
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 28 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.21,3.008,,15.54,,,,10.39,9.25,7.28,0.163,4.44,1.04,3.4,0.64,,,,,,,,,,,,,,,,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,240,230,,,40,120,40,120,22,2.2,,,,23,556,28.7,266,44.4,,,,,,,,,,,,0.2,286,31.8,66.2,8.54,36.4,8.23,2.63,7.09,1.1,5.88,1.03,2.8,0.368,2.19,0.348,5.1,3.07,,,,,,,,,,,2.97,1.07,,,,,,,,,,,,,,,,,,,,,,,,,1040332
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 29 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.68,2.913,,15.1,,,,10.45,9.21,7.42,0.163,4.2,1.01,3.19,0.66,,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,237,240,,,41,140,40,120,23,2.1,,,,23,529,28.7,263,43.3,,,,,,,,,,,,0.2,278,31.4,65.7,8.28,36.1,7.98,2.45,6.72,1.07,5.62,1.05,2.71,0.368,2.29,0.345,4.8,3.15,,,,,,,,,,,2.92,1.03,,,,,,,,,,,,,,,,,,,,,,,,,1040333
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 30 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.96,3.063,,15.6,,,,10.14,9.73,7.27,0.162,4.66,1.21,3.45,0.61,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,258,260,,,40,130,50,110,23,2,,,,27,607,27.4,278,48.7,,,,,,,,,,,,0.3,317,33,66.6,8.38,35.4,7.82,2.44,6.5,0.99,5.55,0.99,2.56,0.349,2.17,0.322,5.1,3.37,,,,,,,,,,,3.33,1.18,,,,,,,,,,,,,,,,,,,,,,,,,1040334
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 31 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.77,3.228,,17.66,,,,9.92,9.97,5.38,0.162,4.86,1.32,3.54,0.64,,,,,,,,,,,,,,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,253,100,,,34,,20,110,25,1.8,,,,28,745,29.1,303,53,,,,,,,,,,,,0.2,353,39.2,78.7,9.85,41.3,8.92,2.75,7.63,1.19,6.28,1.11,2.92,0.416,2.55,0.383,5.8,3.73,,,,,,,,,,,3.74,1.36,,,,,,,,,,,,,,,,,,,,,,,,,1040335
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 35 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.81,2.663,,13.21,,,,9.93,10.91,10.25,0.167,3.82,1.01,2.81,0.45,,,,,,,,,,,,,,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,272,610,,,48,200,50,90,19,2.3,,,,22,529,22.9,210,38.3,,,,,,,,,,,,0.2,272,28.3,57,7.16,31,6.78,2.11,5.62,0.88,4.69,0.85,2.28,0.311,1.88,0.282,4.2,2.71,,,,,,,,,,,3.2,0.89,,,,,,,,,,,,,,,,,,,,,,,,,1040336
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 36 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.97,2.707,,13.54,,,,9.7,11.16,9.08,0.157,3.87,1.03,2.84,0.53,,,,,,,,,,,,,,,,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,274,550,,,44,170,40,100,20,2.4,,,,22,538,23.9,218,39,,,,,,,,,,,,0.2,277,29.8,59.7,7.55,32.1,6.91,2.28,5.86,0.93,4.92,0.91,2.31,0.303,1.82,0.317,4.4,2.85,,,,,,,,,,,2.98,0.9,,,,,,,,,,,,,,,,,,,,,,,,,1040337
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 37 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.1,2.813,,13.62,,,,10.7,10.81,9.75,0.168,3.4,0.81,2.59,0.43,,,,,,,,,,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,274,430,,,49,160,30,110,20,2.1,,,,16,572,24.1,213,36.8,,,,,,,,,,,,0.2,242,27.2,54.8,6.94,30,6.65,2.13,5.75,0.91,4.85,0.9,2.36,0.303,1.89,0.292,4.1,2.69,,,,,,,,,,,2.53,0.86,,,,,,,,,,,,,,,,,,,,,,,,,1040338
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 38 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.85,2.916,,15.45,,,,10.35,9.57,7.07,0.162,4.44,1.1,3.34,0.51,,,,,,,,,,,,,,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,252,170,,,40,100,30,110,22,2.1,,,,24,554,27,273,45.7,,,,,,,,,,,,0.2,293,34,68.1,8.33,34.9,7.74,2.34,6.47,1.02,5.61,1.02,2.64,0.345,2.23,0.347,5.2,3.26,,,,,,,,,,,3.57,1.19,,,,,,,,,,,,,,,,,,,,,,,,,1040339
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 39 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.63,2.948,,16.96,,,,10.22,9.81,5.98,0.166,4.74,1.14,3.6,0.59,,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,258,110,,,36,80,40,110,24,2.1,,,,23,705,29,285,51,,,,,,,,,,,,0.2,326,36.6,73.8,9.28,39.4,8.31,2.7,6.87,1.08,5.75,1.03,2.75,0.364,2.26,0.365,5.4,3.55,,,,,,,,,,,3.41,1.2,,,,,,,,,,,,,,,,,,,,,,,,,1040340
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 40 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.58,3.343,,16.04,,,,10.77,9.76,6.42,0.165,4.52,1.09,3.43,0.49,,,,,,,,,,,,,,,,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,290,140,,,41,90,40,110,22,2,,,,21,629,25,243,43.9,,,,,,,,,,,,0.2,273,29.5,60.3,7.7,32.6,7.2,2.31,6.25,0.97,5.23,0.94,2.43,0.32,2.09,0.328,4.7,3.15,,,,,,,,,,,2.83,0.96,,,,,,,,,,,,,,,,,,,,,,,,,1040341
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 42 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,46.96,2.789,,13.72,,,,10.88,10.72,10.84,0.172,3.18,0.73,2.45,0.43,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,267,530,,,52,180,30,100,19,2,,,,11,495,24,214,34.5,,,,,,,,,,,,,228,24.8,52,6.73,29,6.89,2.14,5.8,0.9,4.95,0.86,2.28,0.296,1.82,0.29,4.1,2.46,,,,,,,,,,,2.39,0.8,,,,,,,,,,,,,,,,,,,,,,,,,1040342
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 50 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,47.37,2.588,,12.64,,,,10.05,10.79,11.73,0.166,3.8,1,2.8,0.41,,,,,,,,,,,,,,,,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040343
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 62 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,45.86,3.395,,16.52,,,,10.76,10.16,6.36,0.175,4.19,1.06,3.13,0.63,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040344
[18088],OCEAN ISLAND,AZORES / PICO,FLOWS ALONG PICO FISSURAL ZONE,38.47,38.47,-28.3,-28.3,SAE,,,s_PIC 63 [18088],BASALT [18088],,200000 [18088],,,,,,,VOL,,,,,WR [18088] ,48.06,3.16,,16.26,,,,10.35,9.59,6.09,0.17,5.2,1.39,3.81,0.66,,,,,,,,,,,,,,,,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040345
[1257],OCEAN ISLAND,AZORES / PICO,SSE FROM ARRIFE TOP,38.47,38.47,-28.3,-28.3,SAE,,,s_P33 [1257],HAWAIITE [1257],,,,,,,,,VOL,,,,,WR [1257] ,,,,,,,,,,,,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13101
[1257],OCEAN ISLAND,AZORES / PICO,SOUTHEAST FROM TERRA ALTA,38.47,38.47,-28.3,-28.3,SAE,,,s_P43 [1257],NOT GIVEN [1257],,,,,,,,,VOL,,,,,WR [1257] ,,,,,,,,,,,,1.94,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13102
[656],OCEAN ISLAND,AZORES / PICO,,38.47,38.47,-28.3,-28.3,SAE,,,s_P-12 [656],"BASALT, ALKALINE [656]",,,,,,,,,VOL,,,,,WR [656] ,47.37,2.86,,15.17,,2.39,8.52,,11.56,6,0.18,5.05,1.51,3.54,0.46,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,326,77,,,26,107,,,,,,,,26.7,570,,,,,,,,,,,,,,,0.206,347,36.1,76.6,,41.5,8.6,2.7,,1.4,,,,,2.4,0.32,6.5,3.1,,,,,,,,,,,3,,,,,0.7039,,,,,,,,,,,,,,,,,,,,,13843
[656],OCEAN ISLAND,AZORES / PICO,,38.47,38.47,-28.3,-28.3,SAE,,,s_P-19 [656],"BASALT, ALKALINE [656]",,,,,,,,,VOL,,,,,WR [656] ,46.84,3.53,,16.93,,3.51,8.18,,9.08,5.4,0.18,5.25,1.43,3.82,0.69,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,275,44,,,36,35,,,,,,,,28.9,626,,,,,,,,,,,,,,,0.333,367,38.6,73.9,,39,9.1,2.5,,1.2,,,,,2.5,0.35,7.3,3.5,,,,,,,,,,,3.1,,,,,0.70347,,,,,,,,,,,,,,,,,,,,,13844
[656],OCEAN ISLAND,AZORES / PICO,,38.47,38.47,-28.3,-28.3,SAE,,,s_P-24 [656],"BASALT, ALKALINE [656]",,,,,,,,,VOL,,,,,WR [656] ,47.17,2.73,,15.17,,4.87,4.83,,11.01,8.21,0.16,4.73,1.28,3.45,0.48,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,262,361,,,44,122,,,,,,,,24.4,593,,,,,,,,,,,,,,,0.22,317,29.8,60.8,,33.2,7.1,2.3,,1,,,,,2,0.25,5.9,2.7,,,,,,,,,,,2.7,,,,,0.70374,,,,,,,,,,,,,,,,,,,,,13846
[1269],OCEAN ISLAND,AZORES / PICO,FASE DE STA LUZIA,38.47,38.47,-28.3,-28.3,SAE,,,s_ACO95-20 [1269],BASALT [1269],,,,,,,1718,,VOL,,,,"HE4_HE3 from OLIVINE [1269], HE4_HE3(R/R(A)) from OLIVINE [1269]",MIN [1269] ,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72545,10,,,13908
