System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
52 35525.42 1473.65 100.000000 0.0000000000000000 0.018645 -1170791.757088 259.894087 30.622842 126.225121 -20.736670 1503.504492 -4.257 -4.257 0.000000 3.265536 0.000 n/a n/a
53 35525.42 1472.65 100.000000 0.0000000000000000 0.018646 -1170921.349397 259.819877 30.621102 126.217859 -20.736188 1503.023188 -4.262 -4.262 0.000000 3.265722 0.000 n/a n/a
54 35525.42 1471.65 100.000000 0.0000000000000000 0.018647 -1171050.924843 259.745635 30.619362 126.210591 -20.735708 1502.541911 -4.266 -4.266 0.000000 3.265907 0.000 n/a n/a
55 35525.42 1470.65 100.000000 0.0000000000000000 0.018648 -1171180.483484 259.671359 30.617624 126.203315 -20.735228 1502.060660 -4.271 -4.271 0.000000 3.266093 0.000 n/a n/a
56 35525.42 1472.70 100.000000 0.0000000000000000 0.018646 -1170915.256430 259.823367 30.621184 126.218201 -20.736211 1503.045818 -4.261 -4.261 0.000000 3.265713 0.000 n/a n/a
57 35118.64 1472.70 100.000000 0.0000000000000000 0.018640 -1172037.314497 259.894258 30.631708 126.254855 -20.769331 1503.234035 -4.285 -4.285 0.000000 3.264591 0.000 n/a n/a
58 35118.64 1471.70 100.000000 0.0000000000000000 0.018641 -1172166.975062 259.819968 30.629963 126.247561 -20.768840 1502.752387 -4.289 -4.289 0.000000 3.264777 0.000 n/a n/a
59 35118.64 1470.70 100.000000 0.0000000000000000 0.018642 -1172296.618384 259.745646 30.628219 126.240260 -20.768350 1502.270766 -4.294 -4.294 0.000000 3.264963 0.000 n/a n/a
60 35118.64 1469.70 100.000000 0.0000000000000000 0.018643 -1172426.244527 259.671291 30.626477 126.232951 -20.767860 1501.789172 -4.299 -4.299 0.000000 3.265149 0.000 n/a n/a
61 35118.64 1471.74 100.000000 0.0000000000000000 0.018641 -1172161.043875 259.823367 30.630043 126.247895 -20.768863 1502.774420 -4.289 -4.289 0.000000 3.264769 0.000 n/a n/a
62 34711.86 1471.74 100.000000 0.0000000000000000 0.018634 -1173283.222829 259.894434 30.640636 126.284611 -20.802155 1502.967830 -4.313 -4.313 0.000000 3.263640 0.000 n/a n/a
63 34711.86 1470.74 100.000000 0.0000000000000000 0.018636 -1173412.953091 259.820064 30.638886 126.277283 -20.801654 1502.485825 -4.318 -4.318 0.000000 3.263826 0.000 n/a n/a
64 34711.86 1469.74 100.000000 0.0000000000000000 0.018637 -1173542.665710 259.745662 30.637138 126.269949 -20.801154 1502.003849 -4.322 -4.322 0.000000 3.264012 0.000 n/a n/a
65 34711.86 1468.74 100.000000 0.0000000000000000 0.018638 -1173672.360752 259.671227 30.635391 126.262607 -20.800655 1501.521902 -4.327 -4.327 0.000000 3.264199 0.000 n/a n/a
66 34711.86 1470.79 100.000000 0.0000000000000000 0.018635 -1173407.192946 259.823367 30.638964 126.277609 -20.801677 1502.507228 -4.317 -4.317 0.000000 3.263818 0.000 n/a n/a
67 34305.08 1470.79 100.000000 0.0000000000000000 0.018629 -1174529.484096 259.894618 30.649628 126.314389 -20.835149 1502.706024 -4.341 -4.341 0.000000 3.262682 0.000 n/a n/a
68 34305.08 1469.79 100.000000 0.0000000000000000 0.018630 -1174659.285584 259.820166 30.647874 126.307028 -20.834638 1502.223653 -4.346 -4.346 0.000000 3.262869 0.000 n/a n/a
69 34305.08 1468.79 100.000000 0.0000000000000000 0.018631 -1174789.069005 259.745682 30.646122 126.299660 -20.834128 1501.741311 -4.351 -4.351 0.000000 3.263056 0.000 n/a n/a
70 34305.08 1467.79 100.000000 0.0000000000000000 0.018632 -1174918.834429 259.671166 30.644370 126.292285 -20.833618 1501.258998 -4.355 -4.355 0.000000 3.263242 0.000 n/a n/a
71 34305.08 1469.83 100.000000 0.0000000000000000 0.018630 -1174653.706221 259.823367 30.647950 126.307345 -20.834660 1502.244388 -4.346 -4.346 0.000000 3.262861 0.000 n/a n/a
72 33898.31 1469.83 100.000000 0.0000000000000000 0.018623 -1175776.100348 259.894809 30.658687 126.344191 -20.868318 1502.448776 -4.370 -4.370 0.000000 3.261718 0.000 n/a n/a
73 33898.31 1468.83 100.000000 0.0000000000000000 0.018625 -1175905.974684 259.820274 30.656929 126.336797 -20.867797 1501.966026 -4.375 -4.375 0.000000 3.261905 0.000 n/a n/a
74 33898.31 1467.83 100.000000 0.0000000000000000 0.018626 -1176035.830504 259.745708 30.655171 126.329396 -20.867276 1501.483306 -4.379 -4.379 0.000000 3.262092 0.000 n/a n/a
75 33898.31 1466.83 100.000000 0.0000000000000000 0.018627 -1176165.667885 259.671109 30.653415 126.321987 -20.866756 1501.000615 -4.384 -4.384 0.000000 3.262279 0.000 n/a n/a
